Network,Network Name,Training Function,Training Time,Accuracy,Accuracy Limit,Training Iterations,Pre-Processing Script
classnet,classnet_02-21-14_02-05-54,traingd,2376.5854,90.404,87.4911,11,Script2
,,,,,,,
classnet,classnet_02-21-14_02-14-43,trainscg,528.1322,90.404,89.2675,8,Script2
,,,,,,,
classnet,classnet_02-21-14_02-29-58,traincgf,915.0856,91.4141,89.2675,8,Script2
,,,,,,,
classnet,classnet_02-21-14_02-47-35,traincgp,1055.9814,89.3939,88.3748,9,Script2
,,,,,,,
classnet,classnet_02-21-14_03-06-37,traingda,1141.9982,90.1515,89.2675,8,Script2
,,,,,,,
classnet,classnet_02-21-14_05-58-56,traingdm,10338.3973,86.6162,73.75,46,Script2
,,,,,,,
classnet,classnet_02-21-14_06-09-49,traingdx,652.2056,91.1616,89.2675,8,Script2
,,,,,,,
classnet,classnet_02-21-14_06-34-04,trainoss,1455.182,90.404,89.2675,7,Script2
classnet,classnet_02-21-14_08-39-27,traingd,1130.9163,89.3939,85.75,15,Script1
classnet,classnet_02-21-14_08-54-17,trainscg,889.4535,87.8788,87.4911,12,Script1
classnet,classnet_02-21-14_09-27-01,traincgf,1963.4153,86.3636,85.75,15,Script1
classnet,classnet_02-21-14_09-52-51,traincgp,1548.9099,87.6263,86.6162,13,Script1
classnet,classnet_02-21-14_10-07-13,traingda,861.7819,88.3838,88.3748,10,Script1
classnet,classnet_02-21-14_10-40-58,traingdm,2024.3495,88.6364,88.3748,10,Script1
classnet,classnet_02-21-14_11-03-39,traingdx,1360.9129,90.6566,85.75,15,Script1
classnet,classnet_02-21-14_11-32-54,trainoss,1754.6871,89.6465,87.4911,12,Script1
